sensor_id,h2s_ppm,event_time,longitude,latitude
H2S-WH-001,1,2026-05-12T10:45:00,-101.988077,31.891006
H2S-SEP-A02,4,2026-05-12T10:50:10,-101.646181,32.241937
H2S-COMP-ST1,5,2026-05-12T10:55:20,-101.487412,32.214787
H2S-FLR-003,6,2026-05-12T11:00:30,-101.986499,31.8938
H2S-TANK-BTY1,8,2026-05-12T11:05:40,-101.989056,31.887594
H2S-PMP-RM04,35,2026-05-12T11:10:50,-101.985285,31.887181
H2S-PIPE-INJ2,50,2026-05-12T11:15:00,-101.984231,31.894414
H2S-CTL-RM01,66,2026-05-12T11:20:10,-101.984591,31.88703
H2S-MAN-ENTRY5,70,2026-05-12T11:25:20,-101.983945,31.89028
H2S-TRTR-OUT1,74,2026-05-12T11:30:30,-101.985205,31.892614
H2S-SKIM-TK02,95,2026-05-12T11:35:40,-101.988969,31.89464
H2S-GDGT-VLV3,100,2026-05-12T11:40:50,-101.993058,31.895496
H2S-SCRB-IN01,107,2026-05-12T11:45:00,-101.991888,31.886799
